reaction_id,reaction_name,subsystem,reaction_layer,source_model,active_group_count,active_groups,n_genes,annotated_genes,ensembl_gene_ids,civicmine_biomarker_rows,civicmine_citation_count,civicmine_prognostic_rows,civicmine_diagnostic_rows,civicmine_predictive_rows,civicmine_predictive_drug_rows,civicmine_unique_drugs,civicmine_unique_cancers,dgidb_interactions,dgidb_unique_drugs,dgidb_approved_drugs,dgidb_publication_pmids,dgidb_max_interaction_score,drugbank_source_interactions,drugbank_source_unique_drugs,opentargets_cancer_assoc_count_top200,opentargets_cancer_max_score_top200,opentargets_cancer_unique_clinical_drugs,opentargets_unique_clinical_drugs,opentargets_cancer_clinical_candidate_rows,matched_civicmine_biomarker_rows,matched_civicmine_predictive_drug_rows,matched_civicmine_active_groups,matched_opentargets_cancer_assoc_count_top200,matched_opentargets_cancer_max_score_top200,matched_opentargets_cancer_clinical_candidate_rows,matched_opentargets_cancer_unique_clinical_drugs,matched_opentargets_active_groups,matched_civicmine_biomarker_rows_present,matched_civicmine_predictive_drug_rows_present,matched_opentargets_cancer_max_score_top200_present,matched_opentargets_cancer_unique_clinical_drugs_present,dgidb_unique_drugs_present,dgidb_approved_drugs_present,drugbank_source_unique_drugs_present,cancer_matched_evidence_score,drug_interaction_evidence_score,total_binary_annotation_score,display_label,rank_score
MAR05137,L-glutamate:tRNA(Glu) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,Global-core,GNN,10,"BLCA,COAD,KIRC,LIHC,LUAD,LUSC,OV,PAAD,STAD,TGCT",1,EPRS1,ENSG00000136628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,L-glutamate:tRNA(Glu) ligase... | EPRS1,0.5
MAR06414,succinyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-succinyltransferase,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,Global-core,GNN,10,"BLCA,COAD,LIHC,LUAD,LUSC,OV,PAAD,PRAD,STAD,TGCT",1,DLST,ENSG00000119689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,succinyl-CoA:enzyme N6-(dihyd... | DLST,0.5
MAR08566,MAR08566,Tryptophan metabolism,Regional,GNN,7,"ACC,BLCA,COAD,KIRP,PRAD,STAD,THCA",4,"CYP1A1, CYP1A2, CYP1B1, CYP2C19","ENSG00000138061, ENSG00000140465, ENSG00000140505, ENSG00000165841",179.0,282.0,41.0,6.0,4.0,4.0,2.0,35.0,1140.0,1139.0,528.0,153.0,3.163866579326396,43.0,43.0,216.0,0.5439129376544397,0.0,0.0,0.0,38,2,"BLCA,COAD,KIRP,PRAD,STAD,THCA",35,0.1034840705716967,0,0,"BLCA,COAD,KIRP,PRAD,STAD,THCA",1,1,1,0,1,1,1,3,3,6,CYP tryptophan | CYP,640.284550077988
MAR00146,Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA),Fatty acid biosynthesis,Regional,XGBoost,8,"BLCA,KIRC,LIHC,LUAD,LUSC,OV,PAAD,TGCT",1,SCD,ENSG00000099194,68.0,131.0,54.0,1.0,11.0,11.0,4.0,26.0,7.0,7.0,4.0,4.0,7.457685508412219,2.0,2.0,32.0,0.1178511652687073,0.0,0.0,0.0,34,6,"BLCA,KIRC,LIHC,LUAD,LUSC,OV,PAAD",10,0.1034815133954318,0,0,"BLCA,KIRC,LIHC,LUAD,LUSC,OV",1,1,1,0,1,1,1,3,3,6,SCD | SCD,635.5647859739236
MAR02654,MAR02654,Carnitine shuttle (cytosolic),Regional,XGBoost,6,"LIHC,LUAD,LUSC,OV,PAAD,TGCT",3,"CPT1A, CPT1B, CPT1C","ENSG00000110090, ENSG00000169169, ENSG00000205560",36.0,48.0,32.0,3.0,1.0,1.0,1.0,14.0,47.0,47.0,30.0,1.0,4.015676812221964,1.0,1.0,150.0,0.155773072485968,0.0,2.0,0.0,7,0,"LIHC,OV",20,0.107271201706833,0,0,"LIHC,LUAD,LUSC,OV,PAAD",1,0,1,0,1,1,1,2,3,5,CPT1 carnitine shuttle | CPT,525.8134287461648
MAR02313,Long-Chain-Fatty-Acid---Coa Ligase,Fatty acid oxidation,Regional,XGBoost,6,"LIHC,LUAD,LUSC,OV,PAAD,TGCT",7,"ACSBG2, ACSL1, ACSL3, ACSL4, ACSL5, ACSL6, SLC27A2","ENSG00000068366, ENSG00000123983, ENSG00000130377, ENSG00000140284, ENSG00000151726, ENSG00000164398, ENSG00000197142",84.0,133.0,74.0,5.0,5.0,5.0,4.0,11.0,15.0,15.0,0.0,0.0,26.10189927944276,0.0,0.0,567.0,0.3695798546847018,0.0,0.0,0.0,33,3,"LIHC,LUAD,LUSC,OV,PAAD",61,0.2117839569173528,0,0,"LIHC,LUAD,LUSC,OV,PAAD",1,1,1,0,1,0,0,3,1,4,"Long-Chain-Fatty-Acid---Coa L... | ACSBG, ACSL, SLC27",433.8263605246162
MAR03958,Isocitrate:NADP+ oxidoreductase (decarboxylating),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,Regional,GNN,6,"LUAD,LUSC,OV,PRAD,STAD,THCA",1,IDH2,ENSG00000182054,83.0,178.0,36.0,35.0,8.0,8.0,5.0,35.0,24.0,24.0,17.0,15.0,5.437895683217243,0.0,0.0,182.0,0.7138449093796811,4.0,4.0,4.0,9,0,"LUAD,LUSC,STAD",11,0.303246666275121,0,0,"LUAD,LUSC,PRAD,STAD,THCA",1,0,1,0,1,1,0,2,2,4,IDH2 TCA reaction | IDH2,425.4929568508902
MAR06918,MAR06918,Oxidative phosphorylation,Regional,XGBoost,8,"ACC,BLCA,LIHC,LUAD,LUSC,OV,PAAD,STAD",10,"CYC1, MT-CYB, UQCR10, UQCR11, UQCRB, UQCRC1, UQCRC2, UQCRFS1, UQCRH, UQCRQ","ENSG00000010256, ENSG00000127540, ENSG00000140740, ENSG00000156467, ENSG00000164405, ENSG00000169021, ENSG00000173660, ENSG00000179091, ENSG00000184076, ENSG00000198727",26.0,30.0,22.0,4.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,2.0,104.407597117771,0.0,0.0,340.0,0.4157773365202895,0.0,0.0,0.0,14,0,"LIHC,LUAD,LUSC,OV,PAAD",54,0.411926241218942,0,0,"ACC,BLCA,LIHC,LUAD,LUSC,OV,PAAD,STAD",1,0,1,0,1,1,0,2,2,4,"MAR06918 | CYC1, MT-CYB, U...",423.8011973816621
MAR04281,(S)-Lactate:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,Regional,XGBoost,5,"LUAD,LUSC,OV,PAAD,STAD",2,"LDHA, LDHB","ENSG00000111716, ENSG00000134333",110.0,185.0,100.0,9.0,1.0,1.0,1.0,34.0,2.0,2.0,0.0,2.0,52.20379855888553,0.0,0.0,143.0,0.1202204858611157,0.0,1.0,0.0,32,0,"LUAD,LUSC,OV,PAAD,STAD",16,0.1095875272808154,0,0,"LUAD,LUSC,OV,PAAD,STAD",1,0,1,0,1,0,0,2,1,3,"LDH lactate reaction | LDHA, LDHB",323.7465075614665
MAR00152,Fatty Acyl Coenzyme A Desaturase (N-C18:2CoA -> N-C18:3CoA),Fatty acid biosynthesis,Regional,XGBoost,9,"BLCA,COAD,LIHC,LUAD,LUSC,OV,PAAD,STAD,TGCT",2,"FADS1, FADS2","ENSG00000134824, ENSG00000149485",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,"BLCA,LUAD,LUSC,STAD,TGCT",0,0.0,0,0,,1,1,0,0,0,0,0,2,0,2,"Fatty Acyl Coenzyme A Desatur... | FADS1, FADS2",223.445732273554
MAR02201,MAR02201,Fatty acid elongation (even-chain),Regional,XGBoost,9,"BLCA,COAD,LIHC,LUAD,LUSC,OV,PAAD,STAD,TGCT",7,"ELOVL1, ELOVL2, ELOVL3, ELOVL4, ELOVL5, ELOVL6, ELOVL7","ENSG00000012660, ENSG00000066322, ENSG00000118402, ENSG00000119915, ENSG00000164181, ENSG00000170522, ENSG00000197977",32.0,35.0,31.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.3052891198537851,0.0,0.0,0.0,11,0,"LIHC,LUAD,LUSC",54,0.2805850931632311,0,0,"BLCA,COAD,LIHC,LUAD,LUSC,OV,PAAD,STAD,TGCT",1,0,1,0,0,0,0,2,0,2,MAR02201 | ELOVL,222.934906649788
MAR02211,MAR02211,Fatty acid elongation (even-chain),Regional,XGBoost,9,"BLCA,COAD,LIHC,LUAD,LUSC,OV,PAAD,STAD,TGCT",7,"ELOVL1, ELOVL2, ELOVL3, ELOVL4, ELOVL5, ELOVL6, ELOVL7","ENSG00000012660, ENSG00000066322, ENSG00000118402, ENSG00000119915, ENSG00000164181, ENSG00000170522, ENSG00000197977",32.0,35.0,31.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.3052891198537851,0.0,0.0,0.0,11,0,"LIHC,LUAD,LUSC",54,0.2805850931632311,0,0,"BLCA,COAD,LIHC,LUAD,LUSC,OV,PAAD,STAD,TGCT",1,0,1,0,0,0,0,2,0,2,MAR02211 | ELOVL,222.934906649788
MAR02305,MAR02305,Fatty acid biosynthesis (unsaturated),Regional,XGBoost,9,"BLCA,COAD,LIHC,LUAD,LUSC,OV,PAAD,STAD,TGCT",7,"ELOVL1, ELOVL2, ELOVL3, ELOVL4, ELOVL5, ELOVL6, ELOVL7","ENSG00000012660, ENSG00000066322, ENSG00000118402, ENSG00000119915, ENSG00000164181, ENSG00000170522, ENSG00000197977",32.0,35.0,31.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.3052891198537851,0.0,0.0,0.0,11,0,"LIHC,LUAD,LUSC",54,0.2805850931632311,0,0,"BLCA,COAD,LIHC,LUAD,LUSC,OV,PAAD,STAD,TGCT",1,0,1,0,0,0,0,2,0,2,MAR02305 | ELOVL,222.934906649788
MAR04050,carbamoyl-phosphate:L-aspartate carbamoyltransferase,Pyrimidine metabolism,Regional,GNN,8,"BLCA,COAD,KIRC,LUAD,LUSC,OV,STAD,TGCT",1,CAD,ENSG00000084774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,"BLCA,COAD,LUAD,LUSC,OV,STAD",0,0.0,0,0,,1,1,0,0,0,0,0,2,0,2,carbamoyl-phosphate:L-asparta... | CAD,222.70258509299404
MAR04608,(S)-dihydroorotate amidohydrolase,Pyrimidine metabolism,Regional,GNN,8,"BLCA,COAD,KIRC,LUAD,LUSC,OV,STAD,TGCT",1,CAD,ENSG00000084774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,"BLCA,COAD,LUAD,LUSC,OV,STAD",0,0.0,0,0,,1,1,0,0,0,0,0,2,0,2,(S)-dihydroorotate amidohydro... | CAD,222.70258509299404
MAR04391,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,Regional,GNN,7,"ACC,COAD,KIRC,KIRP,LUAD,PAAD,PRAD",1,TPI1,ENSG00000111669,12.0,14.0,8.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.1181816134056088,0.0,0.0,0.0,6,0,"LUAD,PAAD",1,0.1042719042014613,0,0,LUAD,1,0,1,0,0,0,0,2,0,2,D-glyceraldehyde-3-phosphate... | TPI1,222.2959101490553
MAR04398,2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming),Pentose phosphate pathway,Regional,Both,9,"BLCA,COAD,LUAD,LUSC,OV,PAAD,STAD,TGCT,THCA",1,DERA,ENSG00000023697,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0488395516650642,0.0,0.0,0.0,1,0,OV,4,0.003695798546847,0,0,"BLCA,LUAD,LUSC,THCA",1,0,1,0,0,0,0,2,0,2,2-deoxy-D-ribose-5-phosphate... | DERA,221.14314718055996
MAR04574,inosine:phosphate alpha-D-ribosyltransferase,Purine metabolism,Regional,GNN,6,"ACC,COAD,LUSC,OV,STAD,TGCT",1,PNP,ENSG00000198805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,2.0,34.80253237259035,0.0,0.0,41.0,0.3839800204171375,2.0,3.0,2.0,0,0,,3,0.0129352949139645,0,0,"LUSC,OV,STAD",0,0,1,0,1,0,0,1,1,2,inosine:phosphate alpha-D-rib... | PNP,210.3
MAR06914,ferrocytochrome-c:oxygen oxidoreductase,Oxidative phosphorylation,Regional,XGBoost,8,"ACC,BLCA,KIRC,LIHC,LUAD,OV,PAAD,STAD",19,"COX4I1, COX4I2, COX5A, COX5B, COX6A1, COX6A2, COX6B1, COX6B2, COX6C, COX7A1, COX7A2, COX7B, COX7B2, COX7C, COX8A, MT-CO1, MT-CO2, MT-CO3, NDUFA4","ENSG00000111775, ENSG00000112695, ENSG00000126267, ENSG00000127184, ENSG00000131055, ENSG00000131143, ENSG00000131174, ENSG00000135940, ENSG00000156885, ENSG00000160471, ENSG00000161281, ENSG00000164919, ENSG00000170516, ENSG00000176340, ENSG00000178741, ENSG00000189043, ENSG00000198712, ENSG00000198804, ENSG00000198938",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,"ACC,KIRC,LIHC,LUAD,STAD",0,0.0,0,0,,1,0,0,0,0,0,0,1,0,1,"ferrocytochrome-c:oxygen oxid... | COX4I1, COX4I2...",112.884906649788
MAR00486,MAR00486,Glycerolipid metabolism,Regional,XGBoost,6,"KIRP,LUAD,LUSC,OV,PAAD,TGCT",4,"GPAM, GPAT2, GPAT3, GPAT4","ENSG00000119927, ENSG00000138678, ENSG00000158669, ENSG00000186281",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,"KIRP,OV",0,0.0,0,0,,1,0,0,0,0,0,0,1,0,1,"MAR00486 | GPAM, GPAT2, GP...",112.2459101490553
MAR02604,MAR02604,Carnitine shuttle (mitochondrial),Regional,XGBoost,9,"BLCA,COAD,KIRC,LUAD,LUSC,OV,PAAD,STAD,TGCT",2,"CPT2, CRAT","ENSG00000095321, ENSG00000157184",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,"COAD,OV",0,0.0,0,0,,1,0,0,0,0,0,0,1,0,1,"MAR02604 | CPT, CRAT",111.8362943611199
MAR02202,MAR02202,Fatty acid elongation (even-chain),Regional,XGBoost,9,"BLCA,COAD,LIHC,LUAD,LUSC,OV,PAAD,STAD,TGCT",1,HSD17B12,ENSG00000149084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,OV,0,0.0,0,0,,1,0,0,0,0,0,0,1,0,1,MAR02202 | HSD17B12,111.14314718055996
MAR04595,ATP:D-xylulose 5-phosphotransferase,Pentose and glucuronate interconversions,Regional,XGBoost,9,"BLCA,COAD,LUAD,LUSC,OV,PAAD,PRAD,STAD,TGCT",1,XYLB,ENSG00000093217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.3877211742509637,0.0,0.0,0.0,0,0,,7,0.0233817020140154,0,0,"COAD,LUAD,LUSC,PRAD,STAD",0,0,1,0,0,0,0,1,0,1,ATP:D-xylulose 5-phosphotrans... | XYLB,110.45
MAR04710,"2-deoxy-D-ribose 1-phosphate 1,5-phosphomutase",Pentose phosphate pathway,Regional,XGBoost,9,"BLCA,COAD,LUAD,LUSC,OV,PAAD,STAD,TGCT,THCA",1,PGM2,ENSG00000169299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.2629917490099354,0.0,0.0,0.0,0,0,,10,0.0787205090478414,0,0,"COAD,LUAD,LUSC,OV,STAD",0,0,1,0,0,0,0,1,0,1,2-deoxy-D-ribose 1-phosphate... | PGM2,110.45
MAR04350,ATP:D-ribose 5-phosphotransferase,Pentose phosphate pathway,Regional,GNN,5,"ACC,BLCA,KIRC,LUSC,TGCT",1,RBKS,ENSG00000171174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.188715946810596,0.0,0.0,0.0,0,0,,5,0.0027824243610177,0,0,"ACC,KIRC,LUSC",0,0,1,0,0,0,0,1,0,1,ATP:D-ribose 5-phosphotransfe... | RBKS,110.25
MAR04354,"D-Ribose 1,5-phosphomutase",Pentose phosphate pathway,Regional,GNN,5,"COAD,LUSC,PAAD,STAD,TGCT",1,PGM2,ENSG00000169299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.2629917490099354,0.0,0.0,0.0,0,0,,8,0.0059132776749552,0,0,"COAD,LUSC,STAD",0,0,1,0,0,0,0,1,0,1,"D-Ribose 1,5-phosphomutase | PGM2",110.25
MAR03238,MAR03238,Sphingolipid metabolism,Regional,XGBoost,8,"BLCA,LIHC,LUAD,LUSC,OV,PAAD,STAD,TGCT",0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,MAR03238 | gene not mapped,0.4
MAR03119,MAR03119,Tryptophan metabolism,Regional,GNN,7,"ACC,BLCA,COAD,KIRP,PRAD,STAD,THCA",0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,MAR03119 | gene not mapped,0.35
MAR02817,MAR02817,Carnitine shuttle (endoplasmic reticular),Regional,XGBoost,6,"LIHC,LUAD,LUSC,OV,PAAD,TGCT",1,SLC22A5,ENSG00000197375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,MAR02817 | SLC22A5,0.3
MAR04742,succinyl-CoA:glycine C-succinyltransferase (decarboxylating),"Glycine, serine and threonine metabolism",Regional,XGBoost,6,"COAD,LUAD,LUSC,OV,PAAD,STAD",3,"ALAS1, ALAS2, CPNE7","ENSG00000023330, ENSG00000158578, ENSG00000178773",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,"succinyl-CoA:glycine C-succin... | ALAS1, ALAS2, C...",0.3
MAR04915,MAR04915,Unknown,Regional,GNN,6,"BLCA,LUAD,LUSC,OV,PAAD,TGCT",0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,MAR04915 | gene not mapped,0.3
MAR10036,acyl-CoA pool formation and breakdown,Pool reactions,Regional,GNN,6,"KIRP,LUAD,LUSC,OV,PAAD,TGCT",0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,acyl-CoA pool formation and b... | gene not mapped,0.3
